'(''a'', ''s'', ''s'', ''conj'')'	4	
'(''adv'', ''pr'', ''s'', ''v'')'	4	
'(''a'', ''s'', ''v'', ''conj'')'	4	
'(''a'', ''s'', ''v'', ''spro'')'	4	
'(''s'', ''s'', ''conj'', ''part'')'	4	
'(''conj'', ''adv'', ''v'', ''spro'')'	4	
'(''part'', ''a'', ''s'', ''v'')'	4	
'(''a'', ''s'', ''v'', ''adv'')'	4	
'(''conj'', ''s'', ''v'', ''pr'')'	4	
'(''s'', ''apro'', ''s'', ''s'')'	4	
'(''pr'', ''a'', ''s'', ''apro'')'	4	
'(''v'', ''pr'', ''spro'', ''pr'')'	4	
'(''conj'', ''v'', ''s'', ''pr'')'	4	
'(''pr'', ''s'', ''conj'', ''part'')'	4	
'(''pr'', ''s'', ''s'', ''a'')'	4	
'(''s'', ''s'', ''a'', ''conj'')'	4	
'(''apro'', ''s'', ''pr'', ''s'')'	4	
'(''spro'', ''pr'', ''s'', ''s'')'	4	
'(''s'', ''adv'', ''v'', ''a'')'	4	
'(''v'', ''pr'', ''spro'', ''s'')'	4	
'(''a'', ''s'', ''a'', ''a'')'	4	
'(''a'', ''s'', ''apro'', ''s'')'	4	
'(''s'', ''adv'', ''a'', ''s'')'	4	
'(''s'', ''pr'', ''s'', ''spro'')'	4	
'(''s'', ''v'', ''s'', ''spro'')'	4	
