['conj', 'v', 's', 'spro']
['v', 's', 'spro', 'v']
['s', 'spro', 'v', 'adv']
['spro', 'v', 'adv', 'apro']
['v', 'adv', 'apro', 's']
['adv', 'apro', 's', 's']
['apro', 's', 's', 'apro']
['s', 's', 'apro', 'v']
['s', 'apro', 'v', 's']
['apro', 'v', 's', 'conj']
['v', 's', 'conj', 's']
['s', 'conj', 's', 'вымазывать']
['conj', 's', 'вымазывать', 'a']
['s', 'вымазывать', 'a', 's']
['вымазывать', 'a', 's', 'v']
['a', 's', 'v', 's']
['s', 'v', 's', 's']
['v', 's', 's', 'pr']
['s', 's', 'pr', 'apro']
['s', 'pr', 'apro', 'spro']
['pr', 'apro', 'spro', 'v']
['apro', 'spro', 'v', 'apro']
['spro', 'v', 'apro', 's']
['v', 'apro', 's', 'apro']
['apro', 's', 'apro', 'a']
['s', 'apro', 'a', 'v']
['apro', 'a', 'v', 's']
['a', 'v', 's', 'v']
['v', 's', 'v', 'adv']
['s', 'v', 'adv', 'джой']
['v', 'adv', 'джой', 'v']
['adv', 'джой', 'v', 'part']
['джой', 'v', 'part', 'part']
['v', 'part', 'part', 'spro']
['part', 'part', 'spro', 'v']
['part', 'spro', 'v', 'apro']
['spro', 'v', 'apro', 'v']
['v', 'apro', 'v', 's']
['apro', 'v', 's', 'pr']
['v', 's', 'pr', 's']
['s', 'pr', 's', 'spro']
['pr', 's', 'spro', 'a']
['s', 'spro', 'a', 's']
['spro', 'a', 's', 'conj']
['a', 's', 'conj', 'spro']
['s', 'conj', 'spro', 'v']
['conj', 'spro', 'v', 'v']
['spro', 'v', 'v', 'кричать:']
['v', 'v', 'кричать:', 'v']
['v', 'кричать:', 'v', 'spro']
['кричать:', 'v', 'spro', 'v']
['v', 'spro', 'v', 'part']
['spro', 'v', 'part', 'точно:']
['v', 'part', 'точно:', 'spro']
['part', 'точно:', 'spro', 'part']
['точно:', 'spro', 'part', 'v']
['spro', 'part', 'v', 's']
['part', 'v', 's', 'v']
['v', 's', 'v', 'spro']
['s', 'v', 'spro', 's']
['v', 'spro', 's', 'num']
['spro', 's', 'num', 's']
['s', 'num', 's', 'spro']
['num', 's', 'spro', 'adv']
['s', 'spro', 'adv', 'spro']
['spro', 'adv', 'spro', 'v']
['adv', 'spro', 'v', 's']
['spro', 'v', 's', 'conj']
['v', 's', 'conj', 's']
['s', 'conj', 's', 'apro']
['conj', 's', 'apro', 'part']
['s', 'apro', 'part', 's']
['apro', 'part', 's', 'spro']
['part', 's', 'spro', 'pr']
['s', 'spro', 'pr', 'spro']
['spro', 'pr', 'spro', 'part']
['pr', 'spro', 'part', 'v']
['spro', 'part', 'v', 'v']
['part', 'v', 'v', 'spro']
['v', 'v', 'spro', 's']
['v', 'spro', 's', 'adv']
['spro', 's', 'adv', 'spro']
['s', 'adv', 'spro', 'v']
['adv', 'spro', 'v', 'spro']
['spro', 'v', 'spro', 'pr']
['v', 'spro', 'pr', 'spro']
['spro', 'pr', 'spro', 'v']
['pr', 'spro', 'v', 'v']
['spro', 'v', 'v', 'сильвио']
['v', 'v', 'сильвио', 'conj']
['v', 'сильвио', 'conj', 'part']
['сильвио', 'conj', 'part', 's']
['conj', 'part', 's', 'apro']
['part', 's', 'apro', 's']
['s', 'apro', 's', 'spro']
['apro', 's', 'spro', 'adv']
['s', 'spro', 'adv', '(или']
['spro', 'adv', '(или', 'беспокойно)']
['adv', '(или', 'беспокойно)', 'v']
['(или', 'беспокойно)', 'v', 'apro']
['беспокойно)', 'v', 'apro', 's']
['v', 'apro', 's', 'part']
['apro', 's', 'part', 'v']
['s', 'part', 'v', 'pr']
['part', 'v', 'pr', 'spro']
['v', 'pr', 'spro', 'a']
['pr', 'spro', 'a', 's']
['spro', 'a', 's', 'a']
['a', 's', 'a', 'conj']
['s', 'a', 'conj', 'a']
['a', 'conj', 'a', 's']
['conj', 'a', 's', '(не']
['a', 's', '(не', 'v']
['s', '(не', 'v', 'v']
['(не', 'v', 'v', 'он)']
['v', 'v', 'он)', 'adv']
['v', 'он)', 'adv', 'part']
['он)', 'adv', 'part', 'v']
['adv', 'part', 'v', 's']
['part', 'v', 's', 'advpro']
['v', 's', 'advpro', 'a']
['s', 'advpro', 'a', 'v']
['advpro', 'a', 'v', 'part']
['a', 'v', 'part', 's']
['v', 'part', 's', 's']
['part', 's', 's', 's']
['s', 's', 's', 's']
['s', 's', 's', 'apro']
['s', 's', 'apro', 'a']
['s', 'apro', 'a', 's']
['apro', 'a', 's', 'apro']
['a', 's', 'apro', 'a']
['s', 'apro', 'a', 'a']
['apro', 'a', 'a', 's']
['a', 'a', 's', 's']
['a', 's', 's', 'apro']
['s', 's', 'apro', 'part']
['s', 'apro', 'part', 'v']
['apro', 'part', 'v', 'spro']
['part', 'v', 'spro', 's']
['v', 'spro', 's', 'conj']
['spro', 's', 'conj', 'apro']
['s', 'conj', 'apro', 'advpro']
['conj', 'apro', 'advpro', 'pr']
['apro', 'advpro', 'pr', 'spro']
['advpro', 'pr', 'spro', 'part']
['pr', 'spro', 'part', 'v']
['spro', 'part', 'v', 'conj']
['part', 'v', 'conj', 'v']
['v', 'conj', 'v', 'spro']
['conj', 'v', 'spro', 'apro']
['v', 'spro', 'apro', 's']
['spro', 'apro', 's', 'a']
['apro', 's', 'a', 'v']
['s', 'a', 'v', 'spro']
['a', 'v', 'spro', 'v']
['v', 'spro', 'v', 'pr']
['spro', 'v', 'pr', 'spro']
['v', 'pr', 'spro', 's']
['pr', 'spro', 's', 'apro']
['spro', 's', 'apro', 'v']
['s', 'apro', 'v', 'v']
['apro', 'v', 'v', 'apro']
['v', 'v', 'apro', 's']
['v', 'apro', 's', 'spro']
['apro', 's', 'spro', 'v']
['s', 'spro', 'v', 'part']
['spro', 'v', 'part', 'v']
['v', 'part', 'v', 'apro']
['part', 'v', 'apro', 'дружество']
['v', 'apro', 'дружество', 's']
['apro', 'дружество', 's', 'spro']
['дружество', 's', 'spro', 'v']
['s', 'spro', 'v', 'spro']
['spro', 'v', 'spro', 'adv']
['v', 'spro', 'adv', 'conj']
['spro', 'adv', 'conj', 'spro']
['adv', 'conj', 'spro', 'pr']
['conj', 'spro', 'pr', 'apro']
['spro', 'pr', 'apro', 's']
['pr', 'apro', 's', 'pr']
['apro', 's', 'pr', 'spro']
['s', 'pr', 'spro', 'v']
['pr', 'spro', 'v', 'spro']
['spro', 'v', 'spro', 'spro']
['v', 'spro', 'spro', 'v']
['spro', 'spro', 'v', 's']
['spro', 'v', 's', 'spro']
['v', 's', 'spro', 'pr']
['s', 'spro', 'pr', 's']
['spro', 'pr', 's', 'conj']
['pr', 's', 'conj', 'pr']
['s', 'conj', 'pr', 's']
['conj', 'pr', 's', 's']
['pr', 's', 's', 'v']
['s', 's', 'v', 'spro']
['s', 'v', 'spro', 'pr']
['v', 'spro', 'pr', 'a']
['spro', 'pr', 'a', 's']
['pr', 'a', 's', 'spro']
['a', 's', 'spro', 'v']
['s', 'spro', 'v', 'v']
['spro', 'v', 'v', 'pr']
['v', 'v', 'pr', 'spro']
['v', 'pr', 'spro', 's']
['pr', 'spro', 's', 'pr']
['spro', 's', 'pr', 's']
['s', 'pr', 's', 'apro']
['pr', 's', 'apro', 'v']
['s', 'apro', 'v', 'spro']
['apro', 'v', 'spro', 's']
['v', 'spro', 's', 'apro']
['spro', 's', 'apro', 'advpro']
['s', 'apro', 'advpro', 'v']
['apro', 'advpro', 'v', 'spro']
['advpro', 'v', 'spro', 'adv']
['v', 'spro', 'adv', 'conj']
['spro', 'adv', 'conj', 'a']
['adv', 'conj', 'a', 'apro']
['conj', 'a', 'apro', 'conj']
['a', 'apro', 'conj', 'apro']
['apro', 'conj', 'apro', 'part']
['conj', 'apro', 'part', 'part']
['apro', 'part', 'part', 'pr']
['part', 'part', 'pr', 's']
['part', 'pr', 's', 'v']
['pr', 's', 'v', 'весело:']
['s', 'v', 'весело:', 'spro']
